,mean_loss,median_loss,relative_to_baseline,improvement_vs_baseline
har,0.31804330550106746,0.11827282645388815,0.7425586370957802,0.2574413629042198
garch,0.33368702071226614,0.20212425721827598,0.7790831469515715,0.22091685304842845
vix_implied,0.3937943041850996,0.3099654616378782,0.9194199555657278,0.08058004443427225
naive_ma22,0.4283073276811729,0.10834934106840488,1.0,0.0
