,mean_loss,mean_loss,mean_loss,mean_loss,relative_to_baseline,relative_to_baseline,relative_to_baseline,relative_to_baseline,improvement_vs_baseline,improvement_vs_baseline,improvement_vs_baseline,improvement_vs_baseline
,naive_ma22,har,garch,vix_implied,naive_ma22,har,garch,vix_implied,naive_ma22,har,garch,vix_implied
forecast_origin,,,,,,,,,,,,
2014,7.85931403538068e-10,6.344712740538716e-10,2.0014927619560813e-09,3.2753708652142365e-09,1.0,0.8072858155274614,2.5466507037966135,4.167502215167037,0.0,0.19271418447253863,-1.5466507037966135,-3.167502215167037
2015,2.4240553926972055e-09,1.7609980940686262e-09,4.421893605114486e-09,8.91332800705756e-09,1.0,0.7264677611633261,1.8241718479025015,3.6770314877746464,0.0,0.2735322388366739,-0.8241718479025015,-2.6770314877746464
2016,1.5230520383753904e-09,9.367087714560119e-10,3.034350950549579e-09,5.909978506050787e-09,1.0,0.6150208580234597,1.992283174898122,3.8803523170192165,0.0,0.38497914197654026,-0.992283174898122,-2.8803523170192165
2017,4.755374259170109e-11,3.3374296345432085e-10,1.3183580220208168e-09,1.197018688592611e-09,1.0,7.0182270682636965,27.723538677918736,25.17191336274572,0.0,-6.0182270682636965,-26.723538677918736,-24.17191336274572
2018,6.49627597232436e-09,5.620162536958461e-09,5.9104381654587115e-09,7.498032809091207e-09,1.0,0.865136050392818,0.9098194397280145,1.154204784561888,0.0,0.13486394960718195,0.09018056027198551,-0.1542047845618879
2019,3.831381172260655e-09,1.2898108167023552e-09,3.1151573560613345e-09,3.965708060845664e-09,1.0,0.3366438260021306,0.8130638054535508,1.0350596514796129,0.0,0.6633561739978694,0.18693619454644916,-0.035059651479612874
2020,3.615771038710859e-07,2.163563580450552e-07,3.164906475746697e-07,2.4527893295225204e-07,1.0,0.5983685242475789,0.8753061081199128,0.6783585861114205,0.0,0.4016314757524211,0.12469389188008717,0.3216414138885795
2021,1.737208447334761e-09,1.6741751695233685e-09,2.648461411930927e-09,1.4411716809330914e-08,1.0,0.9637157659991242,1.524550157463382,8.295905325259893,0.0,0.03628423400087577,-0.524550157463382,-7.295905325259893
2022,7.950945735253457e-09,7.130807932204149e-09,8.068542417353884e-09,1.7199914043765134e-08,1.0,0.8968502829276115,1.0147902760270415,2.1632538589092563,0.0,0.10314971707238851,-0.014790276027041527,-1.1632538589092563
2023,7.171917213681779e-10,9.00810468501198e-10,1.7905750729033086e-09,4.790608779249653e-09,1.0,1.2560246328314175,2.496647715742522,6.679676628322852,0.0,-0.2560246328314175,-1.496647715742522,-5.679676628322852
2024,3.5516706016405248e-09,2.7159133478530612e-09,2.7899494921573564e-09,5.780520868913858e-09,1.0,0.7646861582824079,0.7855316005005285,1.6275498257760228,0.0,0.23531384171759206,0.2144683994994715,-0.6275498257760228
2025,4.250750015266521e-08,2.9165218038709955e-08,4.199711161057002e-08,2.712188562776549e-08,1.0,0.686119342091711,0.9879929767626389,0.6380494155233205,0.0,0.313880657908289,0.012007023237361136,0.3619505844766795
2026,1.7377639716946016e-09,9.12159032578947e-10,1.7618221364128929e-09,1.017023932270179e-08,1.0,0.5249038692460888,1.0138443224224696,5.852486004059664,0.0,0.4750961307539112,-0.01384432242246958,-4.852486004059664
