model_a,model_b,mean_loss_difference,statistic,p_value,maxlags,nobs
naive_ma22,har,1.3325685550990917e-08,1.3690277302188532,0.17108890121387862,20,3129
naive_ma22,garch,3.2004452825197556e-09,0.45561844681302033,0.6486960011096891,20,3129
naive_ma22,vix_implied,6.806135017204171e-09,0.8756053797612212,0.3813118302030402,20,3129
har,garch,-1.0125240268471156e-08,-1.1423343773307995,0.25340248792549874,20,3129
har,vix_implied,-6.5195505337867435e-09,-1.5259710385627288,0.12711817648184406,20,3129
garch,vix_implied,3.6056897346844165e-09,0.5185070575574036,0.6041412127715121,20,3129
