model_a,model_b,mean_loss_difference,statistic,p_value,maxlags,nobs
naive_ma22,har,0.11026402218010546,2.8844136209747973,0.003948236736273321,20,3129
naive_ma22,garch,0.09462030696890679,1.7015253594733173,0.08894375864570404,20,3129
naive_ma22,vix_implied,0.03451302349607336,0.5035526465920547,0.6146112344697401,20,3129
har,garch,-0.015643715211198683,-0.4835971188434932,0.6287056700577913,20,3129
har,vix_implied,-0.07575099868403212,-1.4946170142135524,0.13511529227888014,20,3129
garch,vix_implied,-0.06010728347283344,-2.750138290973342,0.005991276297050077,20,3129
