,mean_loss,median_loss,relative_to_baseline,improvement_vs_baseline
har,2.170381015013311e-08,5.665445448661904e-10,0.6195867144452404,0.3804132855547596
vix_implied,2.8223360683919855e-08,3.2399816712680046e-09,0.8057027404769125,0.19429725952308752
garch,3.182905041860427e-08,1.4853980587382533e-09,0.9086357020430338,0.09136429795696621
naive_ma22,3.502949570112403e-08,4.911168027095874e-10,1.0,0.0
