,intercept,slope,r_squared,wald_statistic,wald_p_value,maxlags,nobs
naive_ma22,5.7154465406751205e-05,0.3455286555047209,0.11689286659930098,47.68455891975483,4.4200745526249996e-11,20,3129
har,2.071966653475521e-05,0.8694161021561497,0.20184904778427815,4.32330720107548,0.11513457694122813,20,3129
garch,3.842993342849679e-05,0.4353335578050447,0.23576908114519823,53.141644289128365,2.8869453515806934e-12,20,3129
vix_implied,7.76348043096043e-06,0.5434365142590389,0.26988101805406706,38.917053300523555,3.542168770842288e-09,20,3129
